ref,value,footprint,lcsc
U1,RP2040,QFN-56_L7.0-W7.0-P0.40-BL-EP3.2,C2040
U2,W25Q32JVSSIQ,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C82317
Y1,ABM8-272-T3 12MHz,OSC-SMD_4P-L3.2-W2.5-BL,C20625
U3,AP2112K-3.3TRG1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C51118
U4,SN74LVC245APWR (data in),TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C6112
U5,SN74LVC245APWR (strobes in),TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C6112
U6,SN74LVC245APWR (status out),TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C6112
U7,SN74LVC1G125DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,
U8,CD74HCT688M,SOIC-20_L12.8-W7.5-P1.27-LS10.3-BL,C553159
U9,SN74HCT138DR,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,
U10,MAX98357AETE+T,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,C910544
D1,B5819W,SOD-123_L2.8-W1.8-LS3.7-RD,C8598
D2,B5819W,SOD-123_L2.8-W1.8-LS3.7-RD,C8598
F1,PTC 0.5A hold,F1206,
J1,TS1000 edge connector 2x23,EDGE-2X23-P2.54-KEY3,
J2,USB-C 16P receptacle,USB-C-SMD_TYPE-C-31-M-12,C165948
J3,B2B-PH-K-S speaker,CONN-TH_2P-P2.00_B2B-PH-K-S,C131337
J4,3.5mm jack PJ-320A,AUDIO-SMD_PJ-320A,
J5,SWD 1x3,HDR-TH_3P-P2.54-V,
SW1,TS-1187A tactile BOOTSEL,SW-SMD_4P-L6.0-W3.5,C318884
SW2,TS-1187A tactile RESET,SW-SMD_4P-L6.0-W3.5,C318884
LED1,LED green SBY,LED0603-RD,
R1,27R USB,R0603,
R2,27R USB,R0603,
R3,5.1k CC1,R0603,
R4,5.1k CC2,R0603,
R5,1k XOUT,R0603,
R6,10k RUN,R0603,
R7,10k QSPI_SS,R0603,
R8,1k BOOTSEL,R0603,
R9,1k SBY LED,R0603,
R10,1k SD_MODE,R0603,
R11,3.3k line-out 1,R0603,
R12,3.3k line-out 2a,R0603,
R13,30k line-out 2b,R0603,
R14,100k bleed,R0603,
R20,33R RB0,R0603,
R21,33R RB1,R0603,
R22,33R RB2,R0603,
R23,33R RB3,R0603,
R24,33R RB4,R0603,
R25,33R RB5,R0603,
R26,33R RB6,R0603,
R27,33R RB7,R0603,
R28,33R D7 status,R0603,
C1,100nF,C0603,
C2,100nF,C0603,
C3,100nF,C0603,
C4,100nF,C0603,
C5,100nF,C0603,
C6,100nF,C0603,
C7,100nF,C0603,
C8,100nF,C0603,
C9,100nF,C0603,
C10,100nF,C0603,
C11,100nF,C0603,
C12,100nF,C0603,
C13,100nF,C0603,
C14,100nF,C0603,
C15,100nF,C0603,
C16,100nF,C0603,
C17,100nF,C0603,
C20,1uF DVDD,C0603,
C21,1uF DVDD,C0603,
C22,10uF LDO in,C0805,
C23,10uF LDO out,C0805,
C24,10uF amp VDD,C0805,
C25,10uF line-out AC,C0805,
C26,15pF XIN,C0603,
C27,15pF XOUT,C0603,
C28,22nF line-out 1,C0603,
C29,22nF line-out 2,C0603,
C30,220uF 6.3V amp bulk,CAP-SMD_BD6.3-L6.6-W6.6-FD,
JP1,port bit Q0: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP2,port bit Q1: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP3,port bit Q2: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP4,port bit Q3: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP5,port bit Q4: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP6,port bit Q5: 1=+5V C=Q 3=GND,SolderJumper-3_P1.3,
JP7,LOOSE decode: 1=nPEQ C=G2A 3=A7,SolderJumper-3_P1.3,
JP8,"VINTAGE: bridged=3.3k, open=33k",SolderJumper-2_P1.3,
JP9,board ID bit 0 to GND,SolderJumper-2_P1.3,
JP10,board ID bit 1 to GND,SolderJumper-2_P1.3,
