net,ref,pin,pin_name,part
D0,J1,4A,4A,TS1000 edge connector 2x23
D0,U4,2,A1,SN74LVC245APWR (data in)
D0,R20,2,2,33R RB0
D1,J1,5A,5A,TS1000 edge connector 2x23
D1,U4,3,A2,SN74LVC245APWR (data in)
D1,R21,2,2,33R RB1
D2,J1,6A,6A,TS1000 edge connector 2x23
D2,U4,4,A3,SN74LVC245APWR (data in)
D2,R22,2,2,33R RB2
D3,J1,9A,9A,TS1000 edge connector 2x23
D3,U4,5,A4,SN74LVC245APWR (data in)
D3,R23,2,2,33R RB3
D4,J1,10A,10A,TS1000 edge connector 2x23
D4,U4,6,A5,SN74LVC245APWR (data in)
D4,R24,2,2,33R RB4
D5,J1,8A,8A,TS1000 edge connector 2x23
D5,U4,7,A6,SN74LVC245APWR (data in)
D5,R25,2,2,33R RB5
D6,J1,7A,7A,TS1000 edge connector 2x23
D6,U4,8,A7,SN74LVC245APWR (data in)
D6,R26,2,2,33R RB6
D7,J1,1A,1A,TS1000 edge connector 2x23
D7,U4,9,A8,SN74LVC245APWR (data in)
D7,R27,2,2,33R RB7
D7,R28,2,2,33R D7 status
A0,J1,7B,7B,TS1000 edge connector 2x23
A0,U8,2,P0,CD74HCT688M
A1,J1,8B,8B,TS1000 edge connector 2x23
A1,U8,4,P1,CD74HCT688M
A2,J1,9B,9B,TS1000 edge connector 2x23
A2,U8,6,P2,CD74HCT688M
A3,J1,10B,10B,TS1000 edge connector 2x23
A3,U8,8,P3,CD74HCT688M
A4,J1,22B,22B,TS1000 edge connector 2x23
A4,U9,1,A,SN74HCT138DR
A5,J1,21B,21B,TS1000 edge connector 2x23
A5,U9,2,B,SN74HCT138DR
A6,J1,20B,20B,TS1000 edge connector 2x23
A6,U8,11,P4,CD74HCT688M
A7,J1,19B,19B,TS1000 edge connector 2x23
A7,U8,13,P5,CD74HCT688M
A7,JP7,3,3,LOOSE decode: 1=nPEQ C=G2A 3=A7
nIORQ,J1,15A,15A,TS1000 edge connector 2x23
nIORQ,U8,1,nE,CD74HCT688M
nIORQ,U9,5,nG2B,SN74HCT138DR
nRD,J1,16A,16A,TS1000 edge connector 2x23
nRD,U9,3,C,SN74HCT138DR
nM1,J1,22A,22A,TS1000 edge connector 2x23
nM1,U9,6,G1,SN74HCT138DR
nRESET,J1,21A,21A,TS1000 edge connector 2x23
nRESET,U5,5,A4,SN74LVC245APWR (strobes in)
CLK,J1,6B,6B,TS1000 edge connector 2x23
CLK,U5,6,A5,SN74LVC245APWR (strobes in)
5V_BUS,J1,1B,1B,TS1000 edge connector 2x23
5V_BUS,F1,1,1,PTC 0.5A hold
GND,J1,4B,4B,TS1000 edge connector 2x23
GND,J1,5B,5B,TS1000 edge connector 2x23
GND,U8,10,GND,CD74HCT688M
GND,U8,15,P6,CD74HCT688M
GND,U8,16,Q6,CD74HCT688M
